dqo,fecha,referencia
11.81,04/06/2001,P1
23.42,04/06/2001,P2
19.68,04/06/2001,P3
7.87,04/06/2001,P4
7.75,04/07/2001,P1
11.63,04/07/2001,P2
9.69,04/07/2001,P3
23.62,04/07/2001,P4
11.79,20/03/2002,P1
9.82,20/03/2002,P2
1.96,20/03/2002,P3
3.93,20/03/2002,P4
1.83,06/11/2002,P1
1.65,06/11/2002,P2
1.68,06/11/2002,P3
1.75,06/11/2002,P4
29.965612111292966,04/12/2002,P1
29.965612111292966,04/12/2002,P2
29.965612111292966,04/12/2002,P3
29.965612111292966,04/12/2002,P4
29.965612111292966,31/03/2003,P1
29.965612111292966,31/03/2003,P2
29.965612111292966,31/03/2003,P3
29.965612111292966,31/03/2003,P4
29.965612111292966,28/04/2003,P1
29.965612111292966,28/04/2003,P2
29.965612111292966,28/04/2003,P3
29.965612111292966,28/04/2003,P4
29.965612111292966,23/07/2003,P1
29.965612111292966,23/07/2003,P2
29.965612111292966,23/07/2003,P3
29.965612111292966,23/07/2003,P4
23.7,24/09/2003,P1
21.8,24/09/2003,P2
27.7,24/09/2003,P3
19.8,24/09/2003,P4
5.9,08/12/2003,P1
5.9,08/12/2003,P2
3.7,08/12/2003,P3
3.7,08/12/2003,P4
16.0,26/01/2004,P1
14.0,26/01/2004,P2
14.0,26/01/2004,P3
12.0,26/01/2004,P4
1.95,16/02/2004,P1
5.9,16/02/2004,P2
1.95,16/02/2004,P3
3.9,16/02/2004,P4
29.965612111292966,11/10/2004,P1
29.965612111292966,11/10/2004,P2
29.965612111292966,11/10/2004,P3
29.965612111292966,11/10/2004,P4
29.0,02/05/2005,P1
23.0,02/05/2005,P2
27.0,02/05/2005,P3
35.0,02/05/2005,P4
18.0,28/06/2006,P1
14.0,28/06/2006,P2
31.0,28/06/2006,P3
10.0,28/06/2006,P4
29.965612111292966,28/06/2006,P5
29.965612111292966,28/06/2006,P6
54.0,23/03/2011,P1
58.0,23/03/2011,P2
44.0,23/03/2011,P3
50.0,23/03/2011,P4
58.0,23/03/2011,P5
12.0,23/03/2011,P6
16.0,22/06/2011,P1
18.0,22/06/2011,P2
8.0,22/06/2011,P3
16.0,22/06/2011,P4
14.0,22/06/2011,P5
6.0,22/06/2011,P6
58.0,05/10/2011,P1
58.0,05/10/2011,P2
46.0,05/10/2011,P3
46.0,05/10/2011,P4
64.0,05/10/2011,P5
14.0,05/10/2011,P6
42.0,20/12/2011,P1
38.0,20/12/2011,P2
40.0,20/12/2011,P3
46.0,20/12/2011,P4
32.0,20/12/2011,P5
12.0,20/12/2011,P6
21.0,09/04/2012,P1
21.0,09/04/2012,P2
107.0,09/04/2012,P3
32.0,09/04/2012,P4
19.0,09/04/2012,P5
4.0,09/04/2012,P6
68.0,26/06/2012,P1
62.0,26/06/2012,P2
70.0,26/06/2012,P3
50.0,26/06/2012,P4
60.0,26/06/2012,P5
27.0,26/06/2012,P6
25.0,27/09/2012,P1
25.0,27/09/2012,P2
25.0,27/09/2012,P3
25.0,27/09/2012,P4
25.0,27/09/2012,P5
25.0,27/09/2012,P6
25.0,04/12/2012,P1
25.0,04/12/2012,P2
25.0,04/12/2012,P3
25.0,04/12/2012,P4
25.0,04/12/2012,P5
25.0,04/12/2012,P6
74.0,19/03/2013,P1
56.0,19/03/2013,P2
75.0,19/03/2013,P3
73.0,19/03/2013,P4
64.0,19/03/2013,P5
60.0,19/03/2013,P6
26.0,20/06/2013,P1
25.0,20/06/2013,P2
35.0,20/06/2013,P3
25.0,20/06/2013,P4
25.0,20/06/2013,P5
25.0,20/06/2013,P6
25.0,11/09/2013,P1
25.0,11/09/2013,P2
25.0,11/09/2013,P3
25.0,11/09/2013,P4
25.0,11/09/2013,P5
25.0,11/09/2013,P6
46.0,31/01/2014,P1
47.0,31/01/2014,P2
37.0,31/01/2014,P3
91.0,31/01/2014,P4
43.0,31/01/2014,P5
25.0,31/01/2014,P6
41.0,29/04/2014,P1
33.0,29/04/2014,P2
41.0,29/04/2014,P3
31.0,29/04/2014,P4
27.0,29/04/2014,P5
25.0,29/04/2014,P6
25.0,15/07/2014,P1
25.0,15/07/2014,P2
25.0,15/07/2014,P3
25.0,15/07/2014,P4
25.0,15/07/2014,P5
25.0,15/07/2014,P6
34.0,27/01/2015,P1
36.0,27/01/2015,P2
32.0,27/01/2015,P3
45.0,27/01/2015,P4
29.0,27/01/2015,P5
25.0,27/01/2015,P6
40.0,31/03/2015,P1
44.0,31/03/2015,P2
26.0,31/03/2015,P3
37.0,31/03/2015,P4
32.0,31/03/2015,P5
25.0,31/03/2015,P6
25.0,07/07/2015,P1
25.0,07/07/2015,P2
25.0,07/07/2015,P3
25.0,07/07/2015,P4
25.0,07/07/2015,P5
25.0,07/07/2015,P6
50.0,13/10/2015,P1
32.0,13/10/2015,P2
25.0,13/10/2015,P3
25.0,13/10/2015,P4
25.0,13/10/2015,P5
29.965612111292966,13/10/2015,P6
30.0,12/01/2016,P1
37.0,12/01/2016,P2
25.0,12/01/2016,P3
25.0,12/01/2016,P4
25.0,12/01/2016,P5
29.965612111292966,12/01/2016,P6
40.0,19/04/2016,P1
36.0,19/04/2016,P2
37.0,19/04/2016,P3
27.0,19/04/2016,P4
26.0,19/04/2016,P5
25.0,19/04/2016,P6
31.0,19/07/2016,P1
25.0,19/07/2016,P2
30.0,19/07/2016,P3
25.0,19/07/2016,P4
27.0,19/07/2016,P5
25.0,19/07/2016,P6
53.0,11/10/2016,P1
45.0,11/10/2016,P2
21.0,11/10/2016,P3
29.0,11/10/2016,P4
27.0,11/10/2016,P5
46.0,11/10/2016,P6
78.0,10/01/2017,P1
50.0,10/01/2017,P2
55.0,10/01/2017,P3
59.0,10/01/2017,P4
31.0,10/01/2017,P5
25.0,10/01/2017,P6
34.0,18/04/2017,P1
31.0,18/04/2017,P2
31.0,18/04/2017,P3
33.0,18/04/2017,P4
41.0,18/04/2017,P5
35.0,18/04/2017,P6
25.0,18/07/2017,P1
25.0,18/07/2017,P2
25.0,18/07/2017,P3
25.0,18/07/2017,P4
25.0,18/07/2017,P5
25.0,18/07/2017,P6
25.0,17/10/2017,P1
25.0,17/10/2017,P2
27.0,17/10/2017,P3
25.0,17/10/2017,P4
25.0,17/10/2017,P5
25.0,17/10/2017,P6
35.0,09/01/2018,P1
28.0,09/01/2018,P2
25.0,09/01/2018,P3
25.0,09/01/2018,P4
29.0,09/01/2018,P5
25.0,09/01/2018,P6
79.0,03/04/2018,P1
72.0,03/04/2018,P2
74.0,03/04/2018,P3
90.0,03/04/2018,P4
79.0,03/04/2018,P5
25.0,03/04/2018,P6
25.0,17/07/2018,P1
25.0,17/07/2018,P2
25.0,17/07/2018,P3
25.0,17/07/2018,P4
25.0,17/07/2018,P5
25.0,17/07/2018,P6
26.0,30/10/2018,P1
25.0,30/10/2018,P2
25.0,30/10/2018,P3
25.0,30/10/2018,P4
25.0,30/10/2018,P5
25.0,30/10/2018,P6
25.0,22/01/2019,P1
25.0,22/01/2019,P2
25.0,22/01/2019,P3
25.0,22/01/2019,P5
25.0,22/01/2019,P6
64.0,23/04/2019,P1
69.0,23/04/2019,P2
64.0,23/04/2019,P3
64.0,23/04/2019,P4
25.0,23/04/2019,P5
69.0,23/04/2019,P6
25.0,27/08/2019,P1
25.0,27/08/2019,P2
25.0,27/08/2019,P3
25.0,27/08/2019,P4
25.0,27/08/2019,P5
25.0,27/08/2019,P6
59.0,22/10/2019,P1
40.0,22/10/2019,P2
58.0,22/10/2019,P3
62.0,22/10/2019,P4
51.0,22/10/2019,P5
25.0,22/10/2019,P6
25.0,09/07/2020,P1
25.0,09/07/2020,P2
28.0,09/07/2020,P3
23.0,09/07/2020,P4
35.0,09/07/2020,P5
25.0,09/07/2020,P6
47.678,24/09/2001,LN1
56.448,22/10/2001,LN1
57.851,11/03/2002,LN1
21.213,06/11/2002,LN1
29.965612111292966,04/12/2002,LN1
29.965612111292966,31/03/2003,LN1
41.819,28/04/2003,LN1
29.965612111292966,23/07/2003,LN1
52.406,24/09/2003,LN1
35.529,08/12/2003,LN1
54.727,08/12/2003,LN1
54.388,16/02/2004,LN1
53.519,11/10/2004,LN1
9.807,02/05/2005,LN1
2.549,12/10/2005,LN1
29.965612111292966,26/10/2005,LN1
17.087,11/01/2006,LN1
4.753,03/04/2006,LN1
6.535,28/06/2006,LN1
2.072,25/09/2006,LN1
2.628,11/10/2006,LN1
16.731,03/01/2007,LN1
22.112,28/03/2007,LN1
21.401,09/07/2007,LN1
24.555,17/09/2007,LN1
20.213,12/12/2007,LN1
9.805,12/03/2008,LN1
18.39,11/06/2008,LN1
7.466,10/09/2008,LN1
4.51,22/10/2008,LN1
