fecha,referencia,PC1
04/06/2001,P1,-0.2453800687259146
04/06/2001,P2,-0.08846646094202451
04/06/2001,P3,-0.1390139969550951
04/06/2001,P4,-0.298630681531128
04/07/2001,P1,-0.3002525276064137
04/07/2001,P2,-0.24781283783884314
04/07/2001,P3,-0.2740326827226285
04/07/2001,P4,-0.08576338414988172
20/03/2002,P1,-0.24565037640512893
20/03/2002,P2,-0.2722756828077356
20/03/2002,P3,-0.37850660073894804
20/03/2002,P4,-0.35188129433634135
06/11/2002,P1,-0.3802636006538409
06/11/2002,P2,-0.3826963697667694
06/11/2002,P3,-0.382290908247948
06/11/2002,P4,-0.38134483137069797
04/12/2002,P1,4.80162894714697e-17
04/12/2002,P2,4.80162894714697e-17
04/12/2002,P3,4.80162894714697e-17
04/12/2002,P4,4.80162894714697e-17
31/03/2003,P1,4.80162894714697e-17
31/03/2003,P2,4.80162894714697e-17
31/03/2003,P3,4.80162894714697e-17
31/03/2003,P4,4.80162894714697e-17
28/04/2003,P1,4.80162894714697e-17
28/04/2003,P2,4.80162894714697e-17
28/04/2003,P3,4.80162894714697e-17
28/04/2003,P4,4.80162894714697e-17
23/07/2003,P1,4.80162894714697e-17
23/07/2003,P2,4.80162894714697e-17
23/07/2003,P3,4.80162894714697e-17
23/07/2003,P4,4.80162894714697e-17
24/09/2003,P1,-0.08468215343302461
24/09/2003,P2,-0.11036138295838128
24/09/2003,P3,-0.03062061759016841
24/09/2003,P4,-0.13739215087980938
08/12/2003,P1,-0.3252559879337347
08/12/2003,P2,-0.3252559879337347
08/12/2003,P3,-0.3549898326473056
08/12/2003,P4,-0.3549898326473056
26/01/2004,P1,-0.18875060993052278
26/01/2004,P2,-0.2157813778519509
26/01/2004,P3,-0.2157813778519509
26/01/2004,P4,-0.24281214577337898
16/02/2004,P1,-0.3786417545785552
16/02/2004,P2,-0.3252559879337347
16/02/2004,P3,-0.3786417545785552
16/02/2004,P4,-0.3522867558551628
11/10/2004,P1,4.80162894714697e-17
11/10/2004,P2,4.80162894714697e-17
11/10/2004,P3,4.80162894714697e-17
11/10/2004,P4,4.80162894714697e-17
02/05/2005,P1,-0.013050618441240136
02/05/2005,P2,-0.09414292220552443
02/05/2005,P3,-0.04008138636266823
02/05/2005,P4,0.06804168532304417
28/06/2006,P1,-0.16171984200909467
28/06/2006,P2,-0.2157813778519509
28/06/2006,P3,0.013980149480187963
28/06/2006,P4,-0.26984291369480706
28/06/2006,P5,4.80162894714697e-17
28/06/2006,P6,4.80162894714697e-17
23/03/2011,P1,0.3248339805766111
23/03/2011,P2,0.3788955164194673
23/03/2011,P3,0.1896801409694706
23/03/2011,P4,0.2707724447337549
23/03/2011,P5,0.3788955164194673
23/03/2011,P6,-0.24281214577337898
22/06/2011,P1,-0.18875060993052278
22/06/2011,P2,-0.16171984200909467
22/06/2011,P3,-0.2968736816162352
22/06/2011,P4,-0.18875060993052278
22/06/2011,P5,-0.2157813778519509
22/06/2011,P6,-0.3239044495376633
05/10/2011,P1,0.3788955164194673
05/10/2011,P2,0.3788955164194673
05/10/2011,P3,0.21671090889089872
05/10/2011,P4,0.21671090889089872
05/10/2011,P5,0.4599878201837516
05/10/2011,P6,-0.2157813778519509
20/12/2011,P1,0.1626493730480425
20/12/2011,P2,0.1085878372051863
20/12/2011,P3,0.13561860512661442
20/12/2011,P4,0.21671090889089872
20/12/2011,P5,0.027495533440902012
20/12/2011,P6,-0.24281214577337898
09/04/2012,P1,-0.12117369012695253
09/04/2012,P2,-0.12117369012695253
09/04/2012,P3,1.041149330494456
09/04/2012,P4,0.027495533440902012
09/04/2012,P5,-0.14820445804838064
09/04/2012,P6,-0.3509352174590914
26/06/2012,P1,0.5140493560266078
26/06/2012,P2,0.4329570522623235
26/06/2012,P3,0.541080123948036
26/06/2012,P4,0.2707724447337549
26/06/2012,P5,0.4059262843408954
26/06/2012,P6,-0.04008138636266823
27/09/2012,P1,-0.06711215428409634
27/09/2012,P2,-0.06711215428409634
27/09/2012,P3,-0.06711215428409634
27/09/2012,P4,-0.06711215428409634
27/09/2012,P5,-0.06711215428409634
27/09/2012,P6,-0.06711215428409634
04/12/2012,P1,-0.06711215428409634
04/12/2012,P2,-0.06711215428409634
04/12/2012,P3,-0.06711215428409634
04/12/2012,P4,-0.06711215428409634
04/12/2012,P5,-0.06711215428409634
04/12/2012,P6,-0.06711215428409634
19/03/2013,P1,0.5951416597908921
19/03/2013,P2,0.3518647484980392
19/03/2013,P3,0.6086570437516061
19/03/2013,P4,0.581626275830178
19/03/2013,P5,0.4599878201837516
19/03/2013,P6,0.4059262843408954
20/06/2013,P1,-0.05359677032338229
20/06/2013,P2,-0.06711215428409634
20/06/2013,P3,0.06804168532304417
20/06/2013,P4,-0.06711215428409634
20/06/2013,P5,-0.06711215428409634
20/06/2013,P6,-0.06711215428409634
11/09/2013,P1,-0.06711215428409634
11/09/2013,P2,-0.06711215428409634
11/09/2013,P3,-0.06711215428409634
11/09/2013,P4,-0.06711215428409634
11/09/2013,P5,-0.06711215428409634
11/09/2013,P6,-0.06711215428409634
31/01/2014,P1,0.21671090889089872
